"%s","%s的"
"The attribute rules were saved.","The attribute rules were saved"
"The role has been saved.","The role has been saved"
"The role is a special one and not for assigning it to admin users.","The role is a special one and not for assigning it to admin users"
"Total Due","共有由於"
"Total Paid","共支付"
"Total Refunded","共有退款"
"Total Reviews Count","總評論數量"
"Type","類型"
"URL","網址"
"Update","更新"
"Use Config Settings for Allow Gift Message","使用配置設置為允許禮品消息"
"Use Config Settings for Allow Gift Wrapping","允許使用禮品包裝配置設置"
"Use Config Settings for Backorders","使用配置設置為允許缺貨"
"Use Config Settings for Enable Qty Increments","使用配置設置啟用數量遞增"
"Use Config Settings for Manage Stock","使用配置設置，管理庫存"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","使用購物車中允許的最大數量的配置設置"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","使用購物車在允許的最低數量的配置設置"
"Use Config Settings for Notify for Quantity Below","使用的數量通知下面的配置設置"
"Use Config Settings for Qty Increments","使用配置設置的數量遞增"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","用於項目的狀態配置設置成為缺貨數量"
"User Type","使用者類型"
"User type ""%s"" no longer exists","使用者類型 ""%s"" 不再存在"
"User type ""%s"" not found.","找不到使用者類型 ""%s"" "
"Web Services","Web服務"
"Web services","Web服務"
"Write","寫"
"ZIP/Postal Code","郵遞區號"
