"# of Use","使用次數"
"%1$s incl tax.","%1$s 含稅"
"%s - %s","%s - %s"
"%s Item(s)","%s 個項目"
"%s and above","%s 以上"
"An error occurred while saving the URL rewrite","儲存替代網址時發生錯誤"
"An error occurred while saving the attribute set.","儲存屬性集合時出錯"
"An error occurred while saving the collection, aborting. Error message: %s","載入組合出錯，登出。 錯誤訊息： %s"
"An error occurred while saving the product. ","儲存產品時出錯"
"An error occurred while saving the search query.","儲存查詢時出錯"
"An error occurred while saving this group.","儲存群組時出錯"
"An error occurred while saving this review.","儲存這個評論時發生錯誤"
"An error occurred while trying to delete the category.","刪除分類時出錯"
"An error occurred while updating the product(s) attributes.","更新產品屬性時出錯"
"An error occurred while updating the product(s) status.","更新產品狀態時出錯"
"An invalid group ID is specified, skipping the record.","指定錯誤的組ID，或略該記錄"
"An invalid option ID is specified for %s (%s), skipping the record.","為 %s (%s)指定錯誤選項ID，忽略該記錄"
"An invalid store was specified.","指定不允許的商店"
"Anchor Custom Text","錨點自訂文字"
"Anchor Custom Title","錨點自訂標題"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","只適用於目錄產品與分類。所有媒體內容將當作靜態連結插入編輯器。將不會隨系統設定的基礎網址改變"
"Apply MAP (Default Value)","套用地圖 (預設值)"
"Apply To","套用於"
"Approved","已通過審核"
"Are you sure you want to delete this category?","您確定要刪除這個分類嗎？"
"Are you sure you would like to remove all products from your comparison?","您確定要從比較產品中刪除所有產品嗎？"
"Are you sure you would like to remove this item from the compare products?","您確定要從比較產品中刪除這個產品嗎？"
"Are you sure?","您確定嗎？"
"As low as:","低至："
"Assign","指定"
"Assign product link","指定產品連結"
"Assign product to category","新增產品到分類"
"Assigned Products","已指定產品"
"Associated Products","相關產品"
"Attrib. Set Name","屬性集合名稱"
"Attribute ""%s"" is invalid.","屬性 ""%s"" 不允許"
"Attribute ""%s"" is required.","屬性 ""%s"" 是必需的"
"Attribute Information","屬性資訊"
"Attribute Model","屬性型號"
"Attribute Name:","屬性名稱："
"Attribute Set","屬性集合"
"Attribute Sets","屬性集合"
"Attribute add","新增屬性"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","屬性代碼錯誤，欄位中只能夠使用字母 (a-z)、數字 (0-9) 或底線(_)，第一個字元必須是字母"
"Attribute group with the \"/name/\" name already exists","名為 \"/name/\" 的屬性集合已存在"
"Attribute remove","移除屬性"
"Attribute with the same code already exists","屬性代碼已存在"
"Attributes","屬性"
"Attrribute names can be specified per store.","同一屬性可為每一個商店指定不同的名稱"
"Autogenerate","自動產生"
"Availability:","庫存狀態："
"Back","返回"
"Backend Model","後台型號"
"Backend Table","後台表"
"Backend Table Title","後台表標題"
"Backorders","延期交貨"
"Based On","基於"
"Before Order Confirmation","在訂單確認前"
"Best Value","超值"
"Block after Info Column","資訊欄之後的區塊"
"Bottom Block Options Wrapper","下方區塊選項解析"
"Bottom/Left","左下"
"Bottom/Right","右下"
"Browse By","查看"
"Bundle Items","集合貨品"
"Buy %1$s","購買 %1$s"
"Buy %1$s for","購買 %1$s 於"
"Buy %1$s for %2$s","購買 %1$s，每件 %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","購買 %1$s，每件僅需 %2$s (%3$s 含稅)"
"Buy %1$s for %2$s each","購買 %1$s，每件僅需 %2$s"
"Cache Lifetime (Seconds)","快取有效期 (秒)"
"Cache refresh needed.","快取需要更新"
"Can be Divided into Multiple Boxes for Shipping","可以分裝為多箱進行運送"
"Can be used only with catalog input type Dropdown","僅用於目錄下拉選單"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","僅用於目錄下拉選單、多重選擇和價格"
"Can\'t create image.","無法建立圖片"
"Cancel","取消"
"Cannot create image.","無法建立圖片"
"Cannot create writeable directory '%s'.","無法建立可寫目錄 '%s'"
"Cart Item Attribute","購物車產品屬性"
"Catalog","產品"
"Catalog Category (Anchor)","產品目錄 (固定點)"
"Catalog Category (Non-Anchor)","產品目錄(非固定點)"
"Catalog Category (Without Subcategories)","產品分類(沒有子分類)"
"Catalog Category Link","產品目錄連結"
"Catalog New Products List","目錄新產品列表"
"Catalog Price Scope","目錄價格範圍"
"Catalog Product Compare List","目錄產品比較產品"
"Catalog Product Email to a Friend","目錄產品推薦給朋友"
"Catalog Product Image Gallery Popup","目錄產品圖片彈出"
"Catalog Product Link","目錄產品連結"
"Catalog Product View (Any)","目錄產品查看(所有)"
"Catalog Product View (Configurable)","目錄產品查看 (可客製化產品)"
"Catalog Product View (Grouped)","目錄產品查看 (打包產品)"
"Catalog Product View (Simple)","目錄產品查看 (簡單產品)"
"Catalog Product View (Virtual)","目錄產品查看 (虛擬產品)"
"Catalog Section","目錄區"
"Catalog Seo Sitemap (Category List)","目錄SEO地圖 (分類列表)"
"Catalog Seo Sitemap (Category Tree)","SEO地圖 (分類樹)"""
"Catalog Seo Sitemap (Common)","目錄SEO地圖 (普通)"
"Catalog Seo Sitemap (Product List)","目錄SEO地圖(產品列表)"
"Catalog URL Rewrites","目錄替代網址"
"Catalog product custom option values API","目錄產品自訂選項值 API"
"Catalog product custom options API","目錄產品自訂選項 API"
"Catalog, Search","目錄，搜尋"
"Categories","分類"
"Categories Sitemap","分類網站地圖"
"Category","分類"
"Category API","分類 API"
"Category Data","分類資料"
"Category Flat Data","目錄資料"
"Category Link Block Template","分類連結塊樣板"
"Category Link Inline Template","分類連結文內樣板"
"Category Products","分類產品"
"Category Top Navigation","頂部目錄導覽"
"Category URL Suffix","目錄 URL 後綴"
"Category attributes API","分類屬性 API"
"Category move error","移動分類出錯"
"Category move error %s","移動分類出錯 %s"
"Category move operation is not possible: parent category is equal to child category.","分類移動錯誤：父分類跟子分類相同"
"Category move operation is not possible: the current category was not found.","分類移動錯誤：找不到目前分類"
"Category move operation is not possible: the new parent category was not found.","分類移動操作不成功,新的父類沒有找到"
"Category must be an instance of Mage_Catalog_Model_Category.","分類必須是 Mage_Catalog_Model_Category 實例"
"Center","置中"
"Change","編輯"
"Change or Retrieve attribute store view","編輯或取得商店介面屬性"
"Change status","編輯狀態"
"Check items to add to the cart or","選擇產品新增至購物車或"
"Choose an Option...","選擇選項.."
"Clear All","清除所有"
"Clear Price","清除價格"
"Click for price","點這看價格"
"Close Window","關閉視窗"
"Collapse All","全部疊起"
"Comma-separated.","逗號分隔"
"Comparable","可比較"
"Comparable on Front-end","可在前台比較"
"Comparable on the Frontend","在前台可比較"
"Compare","比較"
"Compare Products","比較產品"
"Conditions Combination","條件組合"
"Configurable Product","客製化產品"
"Configurable Product Settings","客製化產品的設定"
"Configure Product","客製化產品"
"Continue","繼續"
"Copy From Configurable","從客製化複製"
"Country/State","國家/地區"
"Create","建立"
"Create (Upload)","建立（上傳）"
"Create Empty","建立空"
"Create Permanent Redirect for URLs if URL Key Changed","在網址代碼變更時建立該網址的永久引導"
"Create Permanent Redirect for old URL","為舊網址建立永久引導"
"Create Product Settings","建立產品設定"
"Create Simple Associated Product","建立簡單相關產品"
"Create attribute set based on another set","以另一個集合建立屬性集合"
"Create new attribute","建立新屬性"
"Create new category","建立新分類"
"Create new product","建立新產品"
"Cross-sells","交叉銷售"
"Currently Shopping by:","目前購物人："
"Custom Design","自訂設計"
"Custom Options","自訂選項"
"Custom options","自訂選項"
"Customer Group","客戶群組"
"Customers Reviews","客戶評論"
"Customers Tagged Product","客戶產品標籤"
"Data Type for Saving in Database","儲存在資料庫的日期類型"
"Date & Time Custom Options","自訂時間和日期選項"
"Date Fields Order","日期欄位排序"
"Date Subscribed","訂閱日期"
"Datetime","日期"
"Decimal","小數"
"Declare attribute value saving scope","定義屬性值儲存範圍"
"Default ""What's This"" Text Message","預設的 ""這是什麼"" 文字訊息"
"Default Popup Text Message","預設彈出視窗文字訊息"
"Default Price","預設價格"
"Default Price Navigation Step","預設價格導覽步"
"Default Qty","預設數量"
"Default Values","預設值"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","定義基礎貨幣範圍 (""貨幣設定"" > ""貨幣選項"" > ""基礎貨幣"")"
"Delete","刪除"
"Delete Attribute","刪除屬性"
"Delete Attribute Set","刪除屬性集合"
"Delete Category","刪除分類"
"Delete Group Price","刪除群組價格"
"Delete Option","刪除選項"
"Delete Row","刪除行"
"Delete Search","刪除搜尋"
"Delete Selected Group","刪除所選群組"
"Delete Tier","刪除階層"
"Delete attribute","刪除屬性"
"Delete category","刪除分類"
"Delete product","刪除產品"
"Depends on design theme","決定於樣板設計"
"Design","設計"
"Details","細節"
"Disabled","停用"
"Disallowed file type.","不允許的檔案類型"
"Display Actual Price","顯示實際價格"
"Display Page Control","顯示頁面控制項"
"Display Price Interval as One Price","將價格間距顯示為一個價格"
"Display Product Count","顯示產品數量"
"Display Type","顯示類型"
"Display in Suggested Terms","在建議關鍵字中顯示"
"Double click on a group to rename it","雙擊群組來修改名稱"
"Double click on above image to view full picture","雙擊上面的圖片查看全圖"
"Downloadable Information","下載資訊"
"Duplicate","複製"
"Duplicate website group price customer group.","複製網站群組價格客戶群組"
"Duplicate website tier price customer group and quantity.","複製網站分層價格客戶群組和數量"
"Duplicate website, country and state tax found.","發現重複的網站、國家或地區稅率"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例： {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}} ，動態指令解析會影響目錄的效率"
"Edit","編輯"
"Edit Attribute Set '%s'","編輯屬性集合'%s'"
"Edit Product Attribute","編輯產品屬性"
"Edit Product Attribute ""%s""","編輯產品屬性""%s"""
"Edit Search","編輯搜尋"
"Edit Search '%s'","編輯搜尋'%s'"
"Edit Set Name","編輯集名"
"Email","電子信箱"
"Email to a Friend","轉寄給朋友"
"Empty","空"
"Enable MAP","啟用地圖"
"Enable Qty Increments","使用數量增加"
"Enable WYSIWYG","啟用所見即所得編輯器"
"Enable for reindexing a big number of SKUs.","啟用來為大量的產品統一編號進行重新索引"
"Enabled","啟用"
"Error during retrieval of option value: %s","讀取選項值時出錯：%s"
"Exclude","不顯示"
"Expand All","全部展開"
"Failed","失敗"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","複製檔案 %s 失敗，請刪除媒體檔中不存在的圖片後重試"
"Failed to move file: %s","無法移動檔案：%s"
"Feature Products","推薦產品"
"Field is not complete","欄位是不完整的"
"File options format is not valid.","檔案選項格式是有誤的"
"File upload failed","檔案上傳失敗"
"Filter model name must be declared.","過濾器名必須聲明"
"Filter must be an object. Please set correct filter.","過濾器必須作為對象。請正確設定過濾器"
"Filterable (no results)","有條件 (不含結果)"
"Filterable (with results)","有條件 (含結果)"
"First Name","名字"
"Fixed","固定"
"For internal use.","內部使用"
"For the last time placed.","上次放置的"
"Frontend","前台"
"Frontend Model","前台型號"
"Frontend Properties","前台屬性"
"Gallery","圖冊"
"General Information","一般資訊"
"Get full information about attribute with list of options","取得屬性與選項清單的完整資訊"
"Get full information about custom option in product","取得產品自訂選項的完整資訊"
"Get list of available custom option types","取得可用自訂選項類型清單"
"Get list of non-default attributes by product type and attributes set","依據產品類型與屬性集合取得非預設屬性的清單"
"Get list of possible attribute types","取得可能的屬性類型"
"Get special price","取得特價"
"Global","全站"
"Globally Editable","可全站編輯"
"Go to Home Page","轉到首頁"
"Grid","表格"
"Group add","新增群組"
"Group remove","移除群組"
"Grouped Product","組合產品"
"Groups","群組"
"Home","首頁"
"ID","編號"
"ID: %s","編號: %s"
"If empty, the Category Name will be used","如果空白，將使用分類名"
"If empty, the Product Name will be used","如果空白,將使用產品名"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如果您未給商店指定選項值，將使用預設值"
"Image","圖片"
"Image content is not valid base64 data.","圖片內容不是正確的 base64 資料"
"Image does not exist.","圖片不存在"
"Image file was not found.","圖片檔案沒找到"
"Image type and information need to be specified for each store view.","每個商店介面要輸入圖片類型和資訊"
"In Cart","在購物車"
"In Stock","有庫存"
"In stock","有庫存"
"Incl. Tax","含稅"
"Index product and categories URL rewrites","索引產品和分類連結改寫"
"Index product attributes for layered navigation building","索引產品屬性分階層導覽"
"Index product prices","索引產品價格"
"Indexed category/products association","索引分類/產品"
"Info","資訊"
"Info Column Options Wrapper","資訊欄選項外觀"
"Input Type","輸入類型"
"Integer","整數"
"Interval Division Limit","區間劃分限制"
"Invalid Tier Prices","錯誤的分級價格"
"Invalid attribute %s","錯誤的屬性 %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","屬性 %s (%s) 數值有誤，略過資料"
"Invalid attribute set specified, skipping the record.","指定的屬性集合有誤，略過資料"
"Invalid block: %s.","區塊有誤：%s"
"Invalid category IDs.","分類編號有誤"
"Invalid category.","錯誤的分類"
"Invalid image file type.","圖片檔案類型有誤"
"Invalid image type.","錯誤的分類類型"
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s)的選項編號有誤，忽略該記錄"
"Invalid product type specified, skipping the record.","產品類型有誤，略過資料"
"Invalid store specified","指定的商店有誤"
"Invalid store specified, skipping the record.","指定的商店有誤，略過資料"
"Invalid tier prices. The product is not associated to the requested website.","錯誤雙重價格。產品與請求網站無關"
"Inventory","庫存"
"Is Default","預設"
"Is Required","必填"
"Items %s to %s of %s total","產品%s到%s，共%s件"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要顯示在目錄或搜尋結果中的產品， 相應商店中的狀態要設定為'停用'"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要顯示在目錄或搜尋結果中的產品， 相應商店中的狀態要設定為'停用'"
"Keep your eyes open for our special Back to School items and save A LOT!","睜大眼睛找到特殊的""返校"" 項目，獲得大實惠！"
"Label","標籤"
"Last Name","姓氏"
"Last Notification","最近提醒"
"Layered Navigation","階層導覽"
"Learn More","更多資訊"
"Line %d, Email: %s","行%d，信件：%s"
"Line %d, SKU: %s","行%d，產品統一編號: %s"
"Link (Related, Up sell, Cross sell)","連接（關聯，推薦銷售，交叉銷售）"
"Link product does not exist.","連結產品不存在"
"Link to a Specified Category","連結到指定的分類"
"Link to a Specified Product","連結到指定的產品"
"List","清單"
"List Mode","列表模式"
"List of Products that are set as New","產品列表設定為新"
"List of types","類型清單"
"Manage Attribute Sets","管理屬性集合"
"Manage Attributes","管理屬性"
"Manage Catalog Categories","管理目錄分類"
"Manage Categories","管理分類"
"Manage Label / Options","管理標籤/選項"
"Manage Options (values of your attribute)","管理選項 (屬性值)"
"Manage Product Attributes","管理產品屬性"
"Manage Product Sets","管理組合產品"
"Manage Products","管理產品"
"Manage Stock","管理庫存"
"Manage Titles (Size, Color, etc.)","管理標題 (大小、顏色等。)"
"Max Characters","字元數目上限"
"Maximal Depth","層數上限"
"Maximum Image Size","圖片大小上限"
"Maximum Number of Price Intervals","價格間距上限"
"Maximum Qty Allowed in Shopping Cart","購物車中產品數量上限"
"Maximum allowed image size for '%s' is %sx%s px.","對於 '%s' 的圖片大小上限為 %sx%s px"
"Maximum image height","圖片高度上限"
"Maximum image width","圖片寬度上限"
"Maximum number of characters:","字元數量上限："
"Maximum number of price intervals is 100","價格間隔上限為 100"
"Media Image","媒體圖片"
"Minimum Advertised Price","刊登價格下限"
"Minimum Lines per Page","每頁行數下限"
"Minimum Qty Allowed in Shopping Cart","購物車中產品數量下限"
"Minimum Qty for Item\'s Status to be Out of Stock","產品缺貨狀態的數量下限"
"Missing SKU, skipping the record.","缺少產品統一編號，略過資料"
"More Views","更多"
"Move","移動"
"Move category in tree","移動分類"
"Must be in the allowed values list.","必須在允許的值"
"N/A","無"
"Name","名稱"
"Name in %s","%s中名稱"
"New Product","新增產品"
"New Product Attribute","新產品屬性"
"New Products","新產品"
"New Products Grid Template","新產品網格樣板"
"New Products List Template","新產品列表樣板"
"New Root Category","新的根目錄"
"New Search","新搜尋"
"New Set Name","新組合名稱"
"New Subcategory","新子目錄"
"New products","New products"
"Next","下一個"
"No","否"
"No image","沒有圖片"
"No layout updates","無版面更新"
"No options of this product are available.","沒有這個產品的選項可用"
"No product collections found.","沒有找到產品組合"
"None","無"
"Not Visible Individually","不可見"
"Notify Low Stock RSS","低庫存提醒RSS"
"Notify for Quantity Below","提醒數量低於"
"Number of Products per Page","每頁產品數量"
"Number of Products to Display","顯示產品的數量"
"Number of Uses","使用次數"
"Number of results","結果數量"
"Number of results (For the last time placed)","結果數量 (最近一次配置的)"
"OK","是"
"OR","或"
"Old Price:","建議售價："
"On Gesture","基於手勢"
"Option validation failed to add product to cart.","將所購產品增加至購物車時失敗"
"Option values","選項數值"
"Option:","選項："
"Options","選項"
"Options Control","選項控制"
"Options is required","必填選項"
"Our customer service is available 24/7. Call us at (555) 555-0123.","我們的客戶服務 7x24 可用。客服電話：(555) 555-0123"
"Out of Stock","缺貨"
"Out of stock","缺貨"
"PM","PM"
"Page Title Separator","頁面標題分隔符號"
"Parent Category","上層分類"
"Pending","等待中"
"Pending Reviews RSS","待審評論的RSS"
"Percentage","百分比"
"Please add rows to option.","請新增資料到選項"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","請謹慎操作，一旦您點選此行，選定檔案的包資料將被匯入，所有未儲存的表單將會丟失"
"Please click on the Close Window button if it is not closed automatically.","如果視窗沒有自動關閉，點關閉按鈕"
"Please enter a new group name","請輸入新群組名稱"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","請在 系統 -&gt; <a href=""%s"">索引管理</a>更新 ""目錄替代網址"" 與 ""產品屬性"""
"Please select a static block ...","請選擇靜態區塊 .."
"Please select items.","請選擇項目"
"Please select one or more attributes.","請選擇一個以上屬性"
"Please select product(s).","請選擇產品"
"Please select products for attributes update","請選擇產品更新屬性"
"Please specify date required option(s).","請指定日期必選項目目"
"Please specify the number of products, that will not be divided into subintervals.","請指定產品數量，他不會被分割為子間隔"
"Please specify the product required option(s)","請指定產品必選項目"
"Please specify the product required option(s).","請指定產品必選項目"
"Please specify the product\'s option(s).","請指定產品選項"
"Please specify the product\'s required option(s).","請指定產品必選項目"
"Please specify the quantity of product(s).","請指定產品數量"
"Please specify time required option(s).","請指定時間必選項目"
"Please wait...","請等待.."
"Position","位置"
"Position in Layered Navigation","階層導覽中位置"
"Position of attribute in layered navigation block","層導覽區塊中的屬性位置"
"Prev","上一個"
"Previous","上一個"
"Price","價格"
"Price Navigation Step Calculation","價格導覽階層計算"
"Price Type","價格類型"
"Price is not available","價格無法使用"
"Price values for options should be specified in system base currency.","請在系統基礎貨幣中輸入選項價格"
"Price:","價格："
"Price: %s","價格: %s"
"Print This Page","列印本頁"
"Product","產品"
"Product API","產品 API"
"Product Alerts","產品提醒"
"Product Attribute","產品屬性"
"Product Attributes","產品屬性"
"Product Categories","產品分類"
"Product Description","產品說明"
"Product Extra Info","產品附加資訊"
"Product Flat Data","產品資料"
"Product ID","產品編號"
"Product Image Placeholders","產品圖片區塊"
"Product Image Watermarks","產品圖片浮水印"
"Product Images","產品圖片"
"Product Images API","產品圖片 API"
"Product In Websites","產品網站"
"Product Info Column","產品資訊欄"
"Product Information","產品資訊"
"Product Link Block Template","產品連結塊樣板"
"Product Link Inline Template","產品連結文內樣板"
"Product Listing Sort by","產品列表排序按"
"Product Name","產品名稱"
"Product Prices","產品價格"
"Product Reviews","產品評論"
"Product Tags","產品標籤"
"Product Tier Price API","產品分級價格 API"
"Product Type","產品類型"
"Product URL Suffix","產品 URL 後綴"
"Product View Extra Hint","產品視圖附加提示"
"Product attribute sets API","產品屬性集合 API"
"Product attributes API","產品屬性 API"
"Product collection expected.","需要產品組合"
"Product is not loaded","產品沒有載入"
"Product links API (related, cross sells, up sells)","產品連接API （相關產品，交叉銷售，推薦銷售）"""
"Product types API","產品類型 API"
"Product with this combination of attributes already associated to configurable.","該屬性集合的產品已與配置關聯"
"Products","產品"
"Products Comparison List","產品比較產品"
"Products Information","產品資訊"
"Products Reviews","產品評論"
"Products Sitemap","產品網站地圖"
"Products only","僅限產品"
"Products per Page on Grid Allowed Values","表格模式下每頁產品顯示數量允許值"
"Products per Page on Grid Default Value","每頁表格產品數量的預設值"
"Products per Page on List Allowed Values","清單列表模式下每頁產品顯示數允許值"
"Products per Page on List Default Value","每頁列表產品數量的預設值"
"Properties","屬性"
"Qty","數量"
"Qty Increments","數量增加"
"Qty Uses Decimals","數量用十進制"
"Qty for Item\'s Status to Become Out of Stock","決定產品售完的數量"
"Qty:","數量:"
"Quantity","數量"
"Quick Create","快速建立"
"Quick Overview","簡介"
"Quick simple product creation","快速建立簡單產品"
"Records for ""%s"" store found.","""%s"" 商店找到的資料"
"Redirect","引導"
"Redirect URL","引導網址"
"Regular Price:","建議售價："
"Related Products","相關產品"
"Remove","刪除"
"Remove Product From Websites","從網站刪除產品"
"Remove This Item","刪除這個項目"
"Remove attribute from attribute set","從屬性集合移除屬性"
"Remove attribute set","移除屬性集合"
"Remove custom option","移除自訂選項"
"Remove group from attribute set","從屬性集合移除群組"
"Remove option","移除選項"
"Remove product assignment","從分類中刪除分配產品"
"Remove product image","刪除產品圖片"
"Remove product link","刪除產品連接"
"Remove value from custom option","從自訂選項移除數值"
"Rename existing group","更改既有群組名稱"
"Rename group","更改群組名稱"
"Reorganize EAV category structure to flat structure","重新整理 EAV 分類結構為平面結構"
"Reorganize EAV product structure to flat structure","重新整理 EAV 產品結構為平面結構"
"Reset","重置"
"Results","結果"
"Retrieve attribute data","取得屬性資料"
"Retrieve attribute list","取得屬性列表"
"Retrieve attribute options","取得屬性選項"
"Retrieve categories tree","取得分類樹"
"Retrieve category attributes","取得目錄屬性"
"Retrieve category data","取得目錄資料"
"Retrieve hierarchical tree","取得分級(目錄)樹"
"Retrieve linked products","取得連接產品列表"
"Retrieve list of assigned products","取得指定產品列表"
"Retrieve list of option values","取得選項值的清單"
"Retrieve list of product custom options","取得產品自訂選項的清單"
"Retrieve one level of categories by website/store view/parent category","根據網站/商店視圖/父目錄取得單層分類"
"Retrieve option value info","取得選項數值資訊"
"Retrieve product","取得產品"
"Retrieve product attribute sets","取得產品屬性集合"
"Retrieve product image","取得產品圖片"
"Retrieve product image list","取得產品圖片列表"
"Retrieve product image types","取得產品圖片類型"
"Retrieve product link type attributes","取得產品連接類型屬性"
"Retrieve product link types","取得產品連接類型"
"Retrieve product tier prices","取得產品分級價格"
"Retrieve product types","取得產品類型"
"Retrieve products data","取得產品資料"
"Retrieve products list by filters","根據過濾器取得產品列表"
"Reviews","評論"
"Roll Over for preview","總評"
"Root","根分類"
"SKU","產品統一編號"
"SKU length should be %s characters maximum.","產品統一編號最多 %s 個符號"
"Save","儲存"
"Save Attribute","儲存屬性"
"Save Attribute Set","儲存屬性集合"
"Save Category","儲存分類"
"Save Search","儲存搜尋"
"Save and Continue Edit","儲存並繼續編輯"
"Saved %d record(s)","儲存 %d 筆資料"
"Scope","範圍"
"Scope must not be changed, because the attribute is used in configurable products.","範圍無法改變，因為這個屬性已經用在客製化產品"
"Search","搜尋"
"Search Engine Optimizations","搜尋引擎最佳化"
"Search Information","搜尋資訊"
"Search Query","搜尋"
"Search Term with such search query already exists.","搜尋關鍵字已存在"
"Searchable","可搜尋"
"See price before order confirmation.","在訂單確認前檢視價格"
"Select Category...","選擇分類.."
"Select Configurable Attributes ","選擇可設定屬性"
"Select Product...","選擇產品.."
"Select type of option","選擇選項類型"
"Select type options required values rows.","選擇類型選項需指定選項值陣列"
"Selected Product Types","選擇產品類型"
"Send Count","發送計算"
"Set Ascending Direction","設為升冪"
"Set Descending Direction","設為降冪"
"Set Name","集合名稱"
"Set Root Category for Store","設定商店根分類"
"Set root category for this store in the <a href=""%s"">configuration</a>","在<a href=""%s"">設定</a>中給該商店設定根分類"
"Set special price","設定特價"
"Set/Get current store view","設定/獲得目前商店介面"
"Settings","設定"
"Shop By","購物選項"
"Shopping Options","購物選項"
"Show","顯示"
"Show Details","顯示詳情"
"Show Tags","顯示標籤"
"Simple Product","簡單產品"
"Site Map","網站地圖"
"Sitemap","網站地圖"
"Skip import row, is not valid value ""%s"" for field ""%s""","跳過匯入行，不是正確的""%s"" 在欄位""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","跳過匯入行，新客戶的必填欄位 ""%s"" 尚未定義"
"Skip import row, the value ""%s"" is invalid for field ""%s""","跳過匯入行，值%s""的""是錯誤的領域""，""%s""的"""""
"Skipping import row, required field ""%s"" for new products is not defined.","跳過匯入行，新產品必填欄位 ""%s"" 尚未定義"
"Skipping import row, required field ""%s"" is not defined.","跳過匯入行，必填欄位""%s""尚未定義"
"Skipping import row, store ""%s"" field does not exist.","跳過匯入行，商店""%s""欄位不存在"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","跳過匯入行，值 ""%s"" 對於欄位 ""%s"" 不合理"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","部分處理產品沒有定義產品統一編號。請在對這些產品進行操作之前補充完整"
"Some of the selected item options are not currently available.","部份選擇的選項目前無法使用"
"Sort By","排序"
"Sort Order","排序"
"Source Model","來源型號"
"Special Expires On: %s","特價到： %s"
"Special Price:","特價："
